Cod_Febraban,Seg_Febraban,Nome_Convênio,CNPJ,Grade,Descricao_Conv,
0147,3,ENERGISA-BOR-FIDC,8826596000195,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0148,3,ENERGISA-SE-FIDC,13017462000163,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0149,3,ENERGISA-PB-FIDC,9095183000140,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0154,3,ENERGISA MT,3467321000199,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0155,3,ENERGISA SUL SUDESTE,7282377000120,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0159,3,ENERGISA MT,3467321000199,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0160,3,EQUATORIAL PARA,4895728000180,"Restrita, até 20:45",ENERGIA ELETRICA/GAS,
0162,3,CELESC DISTRIBUICAO,8336783000190,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0173,3,ENERGISA TO,25086034000171,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0178,3,LIQUIGAS,3237583000167,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0187,3,CLAYTON GAS,7336503000181,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0197,3,MINASGASBRAS,19791896000283,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0199,3,ENERGISA MS,15413826000150,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0212,3,GASMIG,22261473000185,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0220,3,CASTRO DISTRIBUICAO,30460297000139,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0227,3,NOVA FONTE ENERGIA,18444086000107,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0229,3,EBES ADM CONSORCIOS,28654082000107,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0233,3,COBRAGEDI,35802746000101,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0234,3,GAS PONTO DISTR GAS,6188764000139,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0236,3,WE BRAZIL ENERGY,23602156000148,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
0242,3,IESBRASIL - INSTITUTO ENERGIA SOCIA,44702718000103,"Estendida, até 23:59",ENERGIA ELETRICA/GAS,
